"coef","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %"
"週數差-316",-52.4625161418149,25.7131609520637,-2.04029820525058,0.0413246895460641,-102.860329410077,-2.064702873553
"週數差-315",-32.6088537238072,27.1126329085832,-1.20271807735368,0.229089842240691,-85.7496329957559,20.5319255481415
"週數差-314",-68.582685206317,28.1123975220646,-2.43958862464464,0.0147066654636765,-123.683003812865,-13.482366599769
"週數差-313",-61.1538529661684,28.1185750072447,-2.1748560497967,0.0296445190049057,-116.266279447946,-6.04142648439056
"週數差-312",-42.8416921793457,27.2269027530129,-1.57350590215792,0.115606617876256,-96.2064404254901,10.5230560667987
"週數差-311",-51.4736179234127,27.448904449281,-1.87525218059335,0.0607625438901769,-105.273489647943,2.32625380111747
"週數差-310",-49.7525535910298,27.9666609310947,-1.77899512972292,0.0752452594292348,-104.567228378378,5.06212119631815
"週數差-309",-35.76032748799,27.107998843428,-1.31917991049567,0.187113646628493,-88.8920239890261,17.3713690130461
"週數差-308",-14.3527921943433,28.1071957924631,-0.510644758029968,0.609601573267587,-69.442915407271,40.7373310185844
"週數差-307",-14.7173826149973,26.4704246025048,-0.555993446875223,0.578217259421506,-66.5994331624067,37.164667932412
"週數差-306",-6.17944916020134,27.3228295655459,-0.226164319671841,0.821074335651778,-59.7322140253242,47.3733157049215
"週數差-305",-37.08482669507,26.7119549037984,-1.38832319942996,0.165043436159492,-89.4402768002356,15.2706234100955
"週數差-304",-44.8933254197394,26.0669285525001,-1.72223303291456,0.0850320977646335,-95.9845234297835,6.19787259030477
"週數差-303",-59.4058121567713,25.8701506292252,-2.29630716141487,0.0216615088272686,-110.11132530096,-8.70029901258287
"週數差-302",-58.4309622635438,27.1250679453579,-2.1541314617626,0.0312335487255227,-111.59611421618,-5.26581031090729
"週數差-301",-23.9763724909288,27.0475797914254,-0.886451677962319,0.37537748076766,-76.9896476082094,29.0369026263519
"週數差-300",-26.9329073494887,28.06423346499,-0.959687973772287,0.337215868010373,-81.9388243708247,28.0730096718473
"週數差-299",-54.2162117538312,28.2753252850777,-1.91743901112408,0.0551865852799279,-109.635868888686,1.20344538102368
"週數差-298",-32.3423344934204,28.2720813539882,-1.14396722648288,0.252641466055473,-87.755633521094,23.0709645342533
"週數差-297",-67.5237888918838,28.6239314557962,-2.35899771476746,0.0183273268606432,-123.626714362701,-11.420863421067
"週數差-296",-40.7818256544242,26.4770722741313,-1.5402694539709,0.123499582237908,-92.676905642824,11.1132543339755
"週數差-295",-67.2769019924122,28.5584815123028,-2.35575907505551,0.0184878720516254,-123.251545528668,-11.3022584561561
"週數差-294",-39.0251040143125,28.9346736424807,-1.34873143884427,0.17742796946446,-95.7370843861696,17.6868763575447
"週數差-293",-41.5092522327758,28.9169132844743,-1.43546622090756,0.15115912702033,-98.1864222906441,15.1679178250926
"週數差-292",-69.2519799074461,27.5217664979135,-2.51626217062397,0.0118630937740735,-123.194661297741,-15.3092985171509
"週數差-291",-40.1381014201903,27.2475514973593,-1.47309021231065,0.140731582433663,-93.5433212195495,13.2671183791689
"週數差-290",-22.050441443586,27.5192686523514,-0.801272799875148,0.422976679794572,-75.9882270548499,31.887344167678
"週數差-289",-45.2367735383939,27.7317024036741,-1.63122958987187,0.102846756485603,-99.5909294493265,9.11738237253873
"週數差-288",-52.0231918008496,27.5249734143658,-1.89003604173139,0.0587576105389511,-105.972158749611,1.92577514791233
"週數差-287",-63.1289516420959,27.9743605483117,-2.25667183823817,0.024031913693958,-117.95871768452,-8.29918559967198
"週數差-286",-29.3971238511542,28.842196501139,-1.01924012098015,0.308092799023161,-85.9278489619561,27.1336012596477
"週數差-285",-65.2200154218068,26.173518704155,-2.49183215138182,0.0127110942876557,-116.520130202891,-13.9199006407225
"週數差-284",-40.4578422207116,27.8084115170047,-1.45487785938337,0.145707935137441,-94.9623480468809,14.0466636054577
"週數差-283",-40.1297238274759,28.4821164206109,-1.40894458947005,0.158856364540919,-95.9546917311454,15.6952440761936
"週數差-282",-7.28664859773589,27.7945475920816,-0.262161079384209,0.793198093930976,-61.7639811214574,47.1906839259856
"週數差-281",-36.6363731493343,26.7683706037676,-1.36864412450184,0.171115301440779,-89.1023980654983,15.8296517668297
"週數差-280",-67.943327596898,28.916491621625,-2.34963938523189,0.018794598837792,-124.61967119529,-11.2669839985061
"週數差-279",-64.1438060439924,28.5587176809928,-2.24603242906397,0.0247052945965307,-120.118912471045,-8.16869961694032
"週數差-278",-46.9807128925274,28.0386504434686,-1.67556969217366,0.0938273470196665,-101.936487173969,7.97506138891443
"週數差-277",-51.2313420629324,27.4586629385312,-1.8657624436273,0.0620791358276306,-105.050340433149,2.58765630728431
"週數差-276",-20.9096912425719,26.3775455990736,-0.792707993396713,0.427950882021756,-72.6096988789524,30.7903163938085
"週數差-275",-0.77631298290276,78.8692597826963,-0.00984303624811097,0.992146550542884,-155.36011676123,153.807490795425
"週數差-274",-31.9811143393354,28.9997753460969,-1.10280558927294,0.27011570691697,-88.8206940953528,24.858465416682
"週數差-273",-49.2833919410601,25.697922295411,-1.91779675315856,0.0551411898411483,-99.6513374317324,1.08455354961221
"週數差-272",-37.5592526484153,26.3221543252191,-1.42690648281892,0.153611683073193,-89.1506933496915,14.0321880528609
"週數差-271",-36.7658554953715,25.9827252465681,-1.41501151809423,0.157069937200312,-87.6920149674917,14.1603039767488
"週數差-270",-25.0410529015223,25.0026108468717,-1.00153752161668,0.316570759285447,-74.0461874716664,23.9640816686219
"週數差-269",-26.375501014248,25.2221262937755,-1.0457286870678,0.29569022532568,-75.8108860123028,23.0598839838068
"週數差-268",-26.4103795387052,24.6151165773212,-1.07293335198087,0.283305026770051,-74.656025072253,21.8352659948427
"週數差-267",-40.4788910554697,27.9491423353986,-1.44830530288586,0.147536536623085,-95.2592293831245,14.3014472721852
"週數差-266",-9.59924908329471,25.7464332579361,-0.37283801554671,0.709270229954431,-60.0622760941022,40.8637779275128
"週數差-265",-23.9140472614779,25.2960149995076,-0.945368164192794,0.344474483850232,-73.4942541739234,25.6661596509677
"週數差-264",-59.5260437715464,26.7564673602258,-2.22473478916853,0.026102486668186,-111.968738322127,-7.08334922096552
"週數差-263",-53.8123178501351,25.4078748135187,-2.11793856216197,0.0341840780551114,-103.611770075487,-4.01286562478285
"週數差-262",3.15088792940068,26.763892341959,0.117729061570797,0.906282704962472,-49.3063595905179,55.6081354493193
"週數差-261",-44.1468493367735,26.7597230249872,-1.64974986084687,0.0989989673430701,-96.5959249925408,8.30222631899383
"週數差-260",-35.1828108684266,26.816976346084,-1.31196039457909,0.189538158109862,-87.7441030731824,17.3784813363292
"週數差-259",-15.6810130270496,27.0539302290259,-0.579620517030299,0.562172574504406,-68.7067350064239,37.3447089523246
"週數差-258",-67.0497490191596,27.4668801133966,-2.4411126688705,0.0146447504010894,-120.884853057802,-13.2146449805176
"週數差-257",-32.5454035326487,25.7080253336837,-1.26596279217161,0.205530967084573,-82.9331509853302,17.8423439200327
"週數差-256",-26.1103630689606,26.2690491874419,-0.993959198243188,0.320246453400007,-77.5977176634268,25.3769915255055
"週數差-255",-26.1274827257791,25.4942164100901,-1.02483960697213,0.305442710508449,-76.096164540189,23.8411990886308
"週數差-254",13.0721130369365,27.73293439419,0.471357010085274,0.637387401359226,-41.2844575762603,67.4286836501333
