"coef","estimate","se","t_value","lower","upper","NA"
"村里大安區昌隆里",49.387740796216,26.9968698005827,1.82938767201634,0.0673460871121484,-3.52612746938748,102.30160906182
"村里大安區法治里",-90.6259683059685,25.534537158604,-3.54915257492464,0.000386742912993697,-140.673664406069,-40.5782722058683
"村里大安區臥龍里",-154.784081420056,37.4196319741435,-4.13644050606937,3.53173348128868e-05,-228.126564880285,-81.4415979598268
"村里大安區芳和里",-195.155683586229,31.0240124762894,-6.29047205726145,3.18489438884486e-10,-255.96275201182,-134.348615160637
"村里大安區虎嘯里",-140.143932077562,19.4870002173447,-7.19166267329461,6.46874002864507e-13,-178.338454998516,-101.949409156608
"村里大安區建安里",455.882289236741,20.2760104267957,22.4838259421228,1.57997633635845e-111,416.141306204244,495.623272269237
"村里大安區建倫里",36.0989294169598,19.7753807153479,1.82544801218128,0.0679379914707239,-2.66081931700231,74.858678150922
"村里大安區通化里",-63.7703432944721,17.9926580352463,-3.54424249988804,0.000394016401723644,-99.0359553471898,-28.5047312417545
"村里大安區通安里",-27.4135237171212,22.6092662446308,-1.21249064080667,0.225328987215256,-71.7276884513057,16.9006410170634
"村里大安區敦安里",-67.9460047117699,21.4440802190082,-3.1685203570327,0.00153287252651866,-109.976404686553,-25.9156047369867
"村里大安區敦煌里",-24.147978242969,20.3413867480109,-1.18713529918654,0.235178553094054,-64.0170988734175,15.7211423874795
"村里大安區華聲里",-81.3735510172341,28.4940455404164,-2.85580897601264,0.00429407973134711,-137.221883924598,-25.5252181098701
"村里大安區新龍里",-184.03456475916,27.6528946812762,-6.65516456343251,2.85199897850521e-11,-238.234241874915,-129.834887643405
"村里大安區群英里",-174.145595267447,26.7890782841329,-6.50061914861001,8.05614564211922e-11,-226.652192134205,-121.638998400689
"村里大安區群賢里",-92.9141300145911,23.0858184082921,-4.02472757826153,5.71052367814189e-05,-138.162337050566,-47.6659229786165
"村里大安區義安里",-65.6234287868854,18.940659457761,-3.46468553184382,0.00053119060981767,-102.747123749106,-28.4997338246645
"村里大安區義村里",-64.3540815444174,21.4605977481582,-2.99870871723228,0.00271227942751618,-106.416855878449,-22.2913072103854
"村里大安區誠安里",-19.7076862747446,20.4401842023169,-0.964163829429225,0.334967347708189,-59.770449928282,20.3550773787929
"村里大安區福住里",42.3396286789291,23.6695780648551,1.78877834505194,0.073655129787208,-4.05274735864882,88.7320047165071
"村里大安區德安里",-39.1298967856849,26.8931511447577,-1.4550134558446,0.145670318650982,-91.8404764725922,13.5806829012224
